14:31:06.522 [main] INFO  api.test.UserTest - ************** Creating User ********
14:31:06.653 [main] INFO  api.test.UserTest - ************** Getting User ********
14:31:06.986 [main] INFO  api.test.UserTest - ************** Upadting User ********
14:31:07.260 [main] INFO  api.test.UserTest - **************  User Updated ********
14:31:07.509 [main] INFO  api.test.UserTest - ************** Deleting User ********
14:31:07.806 [main] INFO  api.test.UserTest - ************** Deleted User ********
14:35:09.459 [main] DEBUG api.test.UserTest - debugging...
14:35:15.335 [main] INFO  api.test.UserTest - ************** Creating User ********
14:35:15.532 [main] INFO  api.test.UserTest - ************** Getting User ********
14:35:15.961 [main] INFO  api.test.UserTest - ************** Upadting User ********
14:35:16.275 [main] INFO  api.test.UserTest - **************  User Updated ********
14:35:16.559 [main] INFO  api.test.UserTest - ************** Deleting User ********
14:35:16.838 [main] INFO  api.test.UserTest - ************** Deleted User ********
10:58:45.685 [main] DEBUG api.test.UserTest2 - debugging...
10:58:47.504 [main] INFO  api.test.UserTest2 - ************** Creating User ********
10:58:47.553 [main] INFO  api.test.UserTest2 - ************** Getting User ********
10:58:47.813 [main] INFO  api.test.UserTest2 - ************** Upadting User ********
10:58:48.043 [main] INFO  api.test.UserTest2 - **************  User Updated ********
10:58:48.266 [main] INFO  api.test.UserTest2 - ************** Deleting User ********
10:58:48.482 [main] INFO  api.test.UserTest2 - ************** Deleted User ********
11:33:44.000 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
11:33:44.018 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
11:33:44.023 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
11:33:45.340 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
11:33:45.342 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
11:33:45.348 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
11:33:45.439 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
11:33:45.442 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
11:33:45.445 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
11:33:45.597 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
11:33:45.602 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
11:33:45.606 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
11:33:45.721 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
11:33:45.725 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
11:33:45.729 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
